net,length_um
top_inst.grid_inst.data_path_wires\[12\]\[2\],111.28
_05182_,111.255
_04942_,111.15
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.weight_reg\[4\],111.1
_09219_,110.92
clknet_leaf_81_clk,110.915
top_inst.grid_inst.rows\[3\].cols\[0\].pe_inst.weight_reg\[7\],110.68
clknet_leaf_138_clk,110.62
top_inst.grid_inst.data_path_wires\[8\]\[2\],110.425
_04968_,110.25
_08155_,110.08
_01395_,110.02
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[1\],109.98
_06650_,109.92
clknet_leaf_117_clk,109.86
_04990_,109.59
_04548_,109.5
_06993_,109.32
_05288_,109.31
_08005_,109.26
_11687_,109.26
_07089_,109.22
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.weight_reg\[0\],109.165
_10606_,108.955
top_inst.grid_inst.data_path_wires\[2\]\[3\],108.82
_08661_,108.64
_05279_,108.56
_02889_,108.555
_11703_,108.48
net976,108.36
_09629_,108.34
top_inst.grid_inst.rows\[3\].cols\[0\].pe_inst.weight_reg\[3\],108.33
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.weight_reg\[1\],108.215
_05765_,108.135
_03672_,107.96
top_inst.grid_inst.data_path_wires\[17\]\[0\],107.82
_11709_,107.78
_08690_,107.73
_05759_,107.465
_05204_,107.44
_10028_,107.36
_10563_,107.3
top_inst.grid_inst.data_path_wires\[17\]\[7\],107.25
_01991_,107.24
_11149_,107.18
_02229_,107.12
net116,107.04
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.weight_reg\[2\],106.89
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[14\],106.74
_10367_,106.695
_04488_,106.66
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[4\],106.62
net559,106.5
_04890_,106.48
_08648_,106.4
_03686_,106.17
_09201_,106.015
_11387_,105.93
_09360_,105.92
_06640_,105.76
_09187_,105.74
_04753_,105.65
_09628_,105.535
_11130_,105.51
_05490_,105.48
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[25\],105.48
_05743_,105.39
_04577_,105.32
_05114_,105.32
top_inst.grid_inst.data_path_wires\[16\]\[6\],105.32
_01611_,105.08
_06643_,104.78
top_inst.grid_inst.data_path_wires\[6\]\[2\],104.75
_06622_,104.69
_09188_,104.68
clknet_leaf_21_clk,104.66
top_inst.deskew_buff_inst.col_input\[63\],104.64
clknet_leaf_54_clk,104.54
_01396_,104.44
_04925_,104.42
_01989_,104.34
_03688_,104.16
_06645_,104.16
_06626_,104.08
_04752_,103.875
clknet_leaf_64_clk,103.58
clknet_leaf_87_clk,103.56
_07083_,103.52
_10037_,103.46
_05298_,103.435
_10023_,103.32
net20,103.28
clknet_leaf_127_clk,103.2
_07065_,102.7
top_inst.grid_inst.data_path_wires\[13\]\[1\],102.64
_07072_,102.22
net518,102.18
clknet_leaf_24_clk,102.16
clknet_leaf_16_clk,102.105
_06628_,102.09
_11338_,102.08
_04496_,102.02
_01986_,102.01
_05075_,101.995
top_inst.deskew_buff_inst.col_input\[62\],101.8
net581,101.76
clknet_leaf_118_clk,101.7
_04517_,101.66
top_inst.grid_inst.data_path_wires\[3\]\[0\],101.54
_07062_,101.44
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.sum_output\[11\],101.34
clknet_leaf_142_clk,101.34
_04061_,101.19
clknet_leaf_93_clk,101.12
clknet_leaf_23_clk,101.04
_07078_,101.025
_05222_,100.96
_08667_,100.88
